[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 1 dis: 445.088, rho: 0 , theta: 197.733, floral[k]: 0.644807, zeta[i]: -19.2136, eps[k]: -788.671, lambda: -inf 
Chain 1 dis: 506.185, rho: 0 , theta: 197.733, floral[k]: -0.054427, zeta[i]: -19.2136, eps[k]: -52.259, lambda: -inf 
Chain 1 dis: 570.608, rho: 0 , theta: 197.733, floral[k]: -1.19589, zeta[i]: -19.2136, eps[k]: -43.0436, lambda: -inf 
Chain 1 dis: 282.821, rho: 0 , theta: 197.733, floral[k]: 1.91243, zeta[i]: -19.2136, eps[k]: -52.7396, lambda: -inf 
Chain 1 dis: 340.012, rho: 0 , theta: 197.733, floral[k]: 1.25655, zeta[i]: -19.2136, eps[k]: -183.938, lambda: -inf 
Chain 1 dis: 403.086, rho: 0 , theta: 197.733, floral[k]: 0.464287, zeta[i]: -19.2136, eps[k]: -118.321, lambda: -inf 
Chain 1 dis: 469.679, rho: 0 , theta: 197.733, floral[k]: -0.663781, zeta[i]: -19.2136, eps[k]: 20.4239, lambda: -inf 
Chain 1 dis: 538.488, rho: 0 , theta: 197.733, floral[k]: 0.936751, zeta[i]: -19.2136, eps[k]: -324.922, lambda: -inf 
Chain 1 dis: 426.32, rho: 0 , theta: 197.733, floral[k]: 0.159276, zeta[i]: -15.8999, eps[k]: 22.7374, lambda: -inf 
Chain 1 dis: 361.798, rho: 0 , theta: 197.733, floral[k]: 0.85836, zeta[i]: -15.8999, eps[k]: -47.1811, lambda: -inf 
Chain 1 dis: 302.154, rho: 0 , theta: 197.733, floral[k]: -0.511352, zeta[i]: -15.8999, eps[k]: -698.762, lambda: -inf 
Chain 1 dis: 250.891, rho: 0 , theta: 197.733, floral[k]: 0.745178, zeta[i]: -15.8999, eps[k]: 70.0279, lambda: -inf 
Chain 1 dis: 214.115, rho: 0 , theta: 197.733, floral[k]: 1.02998, zeta[i]: -15.8999, eps[k]: 98.5783, lambda: -inf 
Chain 1 dis: 466.23, rho: 0 , theta: 197.733, floral[k]: 0.34103, zeta[i]: -15.8999, eps[k]: -312.587, lambda: -inf 
Chain 1 dis: 408.069, rho: 0 , theta: 197.733, floral[k]: -0.989519, zeta[i]: -15.8999, eps[k]: -18.6779, lambda: -inf 
Chain 1 dis: 356.257, rho: 0 , theta: 197.733, floral[k]: 1.18965, zeta[i]: -15.8999, eps[k]: -539.189, lambda: -inf 
Chain 1 dis: 313.956, rho: 0 , theta: 197.733, floral[k]: 1.04431, zeta[i]: -15.8999, eps[k]: -410.836, lambda: -inf 
Chain 1 dis: 285.425, rho: 0 , theta: 197.733, floral[k]: -0.509924, zeta[i]: -15.8999, eps[k]: -839.767, lambda: -inf 
Chain 1 dis: 514.046, rho: 0 , theta: 197.733, floral[k]: 1.07972, zeta[i]: -15.8999, eps[k]: -65.4072, lambda: -inf 
Chain 1 dis: 461.944, rho: 0 , theta: 197.733, floral[k]: 0.877506, zeta[i]: -15.8999, eps[k]: 46.9255, lambda: -inf 
Chain 1 dis: 416.883, rho: 0 , theta: 197.733, floral[k]: -0.528865, zeta[i]: -15.8999, eps[k]: -155.019, lambda: -inf 
Chain 1 dis: 381.366, rho: 0 , theta: 197.733, floral[k]: -0.693816, zeta[i]: -15.8999, eps[k]: -263.408, lambda: -inf 
Chain 1 dis: 358.245, rho: 0 , theta: 197.733, floral[k]: 0.958341, zeta[i]: -15.8999, eps[k]: -221.843, lambda: -inf 
Chain 1 dis: 567.772, rho: 0 , theta: 197.733, floral[k]: 0.0841977, zeta[i]: -15.8999, eps[k]: -1024.52, lambda: -inf 
Chain 1 dis: 521.07, rho: 0 , theta: 197.733, floral[k]: 1.32583, zeta[i]: -15.8999, eps[k]: -514.016, lambda: -inf 
Chain 1 dis: 481.574, rho: 0 , theta: 197.733, floral[k]: 0.644807, zeta[i]: -15.8999, eps[k]: -788.671, lambda: -inf 
Chain 1 dis: 451.179, rho: 0 , theta: 197.733, floral[k]: -0.054427, zeta[i]: -15.8999, eps[k]: -52.259, lambda: -inf 
Chain 1 dis: 431.812, rho: 0 , theta: 197.733, floral[k]: -1.19589, zeta[i]: -15.8999, eps[k]: -43.0436, lambda: -inf 
Chain 1 dis: 625.889, rho: 0 , theta: 197.733, floral[k]: 1.91243, zeta[i]: -15.8999, eps[k]: -52.7396, lambda: -inf 
Chain 1 dis: 583.855, rho: 0 , theta: 197.733, floral[k]: 1.25655, zeta[i]: -15.8999, eps[k]: -183.938, lambda: -inf 
Chain 1 dis: 548.895, rho: 0 , theta: 197.733, floral[k]: 0.464287, zeta[i]: -15.8999, eps[k]: -118.321, lambda: -inf 
Chain 1 dis: 522.431, rho: 0 , theta: 197.733, floral[k]: -0.663781, zeta[i]: -15.8999, eps[k]: 20.4239, lambda: -inf 
Chain 1 dis: 505.8, rho: 0 , theta: 197.733, floral[k]: 0.936751, zeta[i]: -15.8999, eps[k]: -324.922, lambda: -inf 
Chain 1 dis: 524.24, rho: 0 , theta: 197.733, floral[k]: 0.159276, zeta[i]: -18.8231, eps[k]: 22.7374, lambda: -inf 
Chain 1 dis: 551.441, rho: 0 , theta: 197.733, floral[k]: 0.85836, zeta[i]: -18.8231, eps[k]: -47.1811, lambda: -inf 
Chain 1 dis: 587.024, rho: 0 , theta: 197.733, floral[k]: -0.511352, zeta[i]: -18.8231, eps[k]: -698.762, lambda: -inf 
Chain 1 dis: 629.569, rho: 0 , theta: 197.733, floral[k]: 0.745178, zeta[i]: -18.8231, eps[k]: 70.0279, lambda: -inf 
Chain 1 dis: 677.766, rho: 0 , theta: 197.733, floral[k]: 1.02998, zeta[i]: -18.8231, eps[k]: 98.5783, lambda: -inf 
