[1] reduce_sum_exponential.stan
Levels: reduce_sum_exponential.stan reduce_sum_exponentialGQ.stan
[1] 4
[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 dis: 321.557, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.07972, zeta[i]: -2.94317, eps[k]: -11.6507, lambda: -inf 
Chain 2 dis: 324.884, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.877506, zeta[i]: -2.94317, eps[k]: -1.59724, lambda: -inf 
Chain 2 dis: 344.891, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.528865, zeta[i]: -2.94317, eps[k]: 1.63816, lambda: -6.00275e+26 
Chain 2 dis: 423.676, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.958341, zeta[i]: -2.94317, eps[k]: -3.22185, lambda: -inf 
Chain 2 dis: 246.811, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.0841977, zeta[i]: -2.94317, eps[k]: -0.524956, lambda: -6.42919e+287 
Chain 2 dis: 251.13, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.32583, zeta[i]: -2.94317, eps[k]: -468.4, lambda: -inf 
Chain 2 dis: 276.526, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.644807, zeta[i]: -2.94317, eps[k]: -0.4514, lambda: -inf 
Chain 2 dis: 317.99, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.054427, zeta[i]: -2.94317, eps[k]: 0.484801, lambda: -7.27316e+228 
Chain 2 dis: 172.286, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.91243, zeta[i]: -2.94317, eps[k]: -142.352, lambda: -inf 
Chain 2 dis: 178.418, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.25655, zeta[i]: -2.94317, eps[k]: -0.987613, lambda: -inf 
Chain 2 dis: 212.682, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.464287, zeta[i]: -2.94317, eps[k]: -12.009, lambda: -inf 
Chain 2 dis: 325.246, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.936751, zeta[i]: -2.94317, eps[k]: -120.046, lambda: -inf 
Chain 2 dis: 248.359, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.159276, zeta[i]: -1.69943, eps[k]: -1.18416, lambda: -inf 
Chain 2 dis: 179.4, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.85836, zeta[i]: -1.69943, eps[k]: -0.162133, lambda: -inf 
Chain 2 dis: 118.054, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.511352, zeta[i]: -1.69943, eps[k]: 0.173276, lambda: -5.93513e+33 
Chain 2 dis: 83.3016, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.745178, zeta[i]: -1.69943, eps[k]: -1.30354, lambda: -inf 
Chain 2 dis: 105.79, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.02998, zeta[i]: -1.69943, eps[k]: -2.41841, lambda: -inf 
Chain 2 dis: 234.281, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.34103, zeta[i]: -1.69943, eps[k]: -2.89754, lambda: -inf 
Chain 2 dis: 84.5115, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.18965, zeta[i]: -1.69943, eps[k]: -57.2551, lambda: -inf 
Chain 2 dis: 12.0225, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.04431, zeta[i]: -1.69943, eps[k]: -192.193, lambda: -inf 
Chain 2 dis: 66.3091, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.509924, zeta[i]: -1.69943, eps[k]: -0.0133755, lambda: -1.35327e+34 
Chain 2 dis: 243.604, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.07972, zeta[i]: -1.69943, eps[k]: -11.6507, lambda: -inf 
Chain 2 dis: 172.758, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.877506, zeta[i]: -1.69943, eps[k]: -1.59724, lambda: -inf 
